trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.14185569886946,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-296.7308830721935,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.91993283362874,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.15994025488632,"{0: 13, 1: 8, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.9991276729425,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.92120735482968,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.8705942507476,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.94520573410733,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.08023332262087,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.5850864316812,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,2,-25.270654805659564,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.022535915016434,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.21592990996282,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.3567418802234,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.89048878587444,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.51571657301203,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.5350059640262,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.87767236993085,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.10202183577036,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.89017564984545,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.76649558705876,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-180.165774413993,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.68362600556861,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.90851720351907,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.11493031160148,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-27.129619271343703,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-191.872722666848,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,16,-118.47005193548543,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.15927671926809,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.540659633127756,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.33402024584709,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,True,"{'a': 0.5, 'e': 1.0}",30,0,-77.14634088738998,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
13,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.81206924675925,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.4375918170549,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
15,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.35127713607248,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.72974914309052,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,True,"{'a': 0.5, 'e': 1.0}",20,0,-7.179403894525363,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.95805966116717,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
19,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.8724503561401,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.03810532662737,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
21,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.16640567565516,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
22,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.22567817919399,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
23,True,"{'a': 0.5, 'e': 1.0}",30,0,-187.01306344036843,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
24,True,"{'a': 0.5, 'e': 1.0}",30,0,-96.94121525652473,"{0: 17, 1: 3, 2: 10, 3: 0, 4: 0}",0
25,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.38686993241087,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
26,True,"{'a': 0.5, 'e': 1.0}",25,0,-222.37925434298373,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
27,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.750471955397,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
28,True,"{'a': 0.5, 'e': 1.0}",25,5,-164.03626174404394,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",1
29,True,"{'a': 0.5, 'e': 1.0}",30,0,-68.64087659636735,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
30,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.6721468772329,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
31,True,"{'a': 0.5, 'e': 1.0}",30,0,-149.77187680915787,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
32,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.54188763286062,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
33,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.84508519956606,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
34,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.94408751236438,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
35,True,"{'a': 0.5, 'e': 1.0}",35,0,-194.62280610830274,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
36,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.56038035277136,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
37,True,"{'a': 0.5, 'e': 1.0}",20,10,9.145916174414609,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,True,"{'a': 0.5, 'e': 1.0}",30,0,-229.42498767977358,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
