trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",20,0,-119.01753367694319,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9646402934831231}",25,0,-169.4275529326488,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9305308958112057}",30,0,-264.9761890547077,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
4,False,"{'a': 0.4, 'e': 0.8976275964304349}",30,0,-161.00273384484208,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.865887748059205}",20,0,-164.4836672484008,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.835270211411272}",25,0,-101.28483744499277,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.8057353018734796}",25,0,-226.81217219810983,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.7772447380689461}",25,0,-125.24353060527264,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.7497615922390413}",20,0,-70.42267696886238,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.7232502423798424}",25,0,-115.20654982523595,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.697676326071031}",25,6,-25.77028566258104,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.4, 'e': 0.6730066959373864}",20,0,-8.708916294033045,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.6492093766851473}",25,2,-5.2195946353042375,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.6262535236575559}",20,1,-41.12752554475924,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.4, 'e': 0.6041093828558647}",25,10,-107.7400869441393,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.4, 'e': 0.5827482523739898}",30,0,-55.23510498508214,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.5621424451968224}",25,0,-18.939160927030958,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.5422652533139831}",25,17,-26.37404932336503,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.4, 'e': 0.5230909131025008}",30,13,17.060636559012448,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.4, 'e': 0.5045945719335512}",30,13,-87.25676043863417,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
21,False,"{'a': 0.4, 'e': 0.4867522559599717}",20,8,5.621601212004528,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.4, 'e': 0.46954083904279925}",20,7,18.37158085097083,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.4, 'e': 0.4529380127765577}",20,0,9.965732882583,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.4369222575744412}",30,11,-51.42428213932207,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.4, 'e': 0.4214728147759176}",20,6,-69.67734277646547,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.4, 'e': 0.4065696597405991}",20,10,5.581470738295768,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.4, 'e': 0.392193475893505}",30,19,-54.71899796727448,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.4, 'e': 0.3783256296880768}",25,17,-2.647964170966543,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.4, 'e': 0.36494814645449375}",35,2,-40.26646721440968,"{0: 27, 1: 3, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.4, 'e': 0.3520436871019846}",20,12,-7.08271069151555,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.4, 'e': 0.3395955256449392}",25,0,-4.232540596467752,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.4, 'e': 0.3275875275236895}",25,3,-43.81236334628423,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
33,False,"{'a': 0.4, 'e': 0.31600412869186256}",25,10,-19.207302254884706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.4, 'e': 0.30483031544319683}",25,11,-51.74508413293367,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.4, 'e': 0.2940516049516783}",20,2,-8.937514541121761,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.2836540264997704}",25,12,5.048792217324289,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
