trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.72967586670305,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.5323934766446,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.16901590133756,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.671639811778135,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.18391833650398,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.90354216196431,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,15,-234.11093716139098,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 4}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,4,-144.86907016983022,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.259779055744886,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,2,-90.24042993372115,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.16100708481707,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-248.64341123397773,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.985591148955155,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,13,-73.40237782951164,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
