device_id,phone_brand,device_model
-8890648629457979026,小米,红米
1277779817574759137,小米,MI 2
5137427614288105724,三星,Galaxy S4
3669464369358936369,SUGAR,时尚手机
-5019277647504317457,三星,Galaxy Note 2
3238009352149731868,华为,Mate
-3883532755183027260,小米,MI 2S
-2972199645857147708,华为,G610S
-5827952925479472594,小米,MI One Plus
-8262508968076336275,vivo,S7I
5840378295166286440,三星,Galaxy S3
-5776341595519925628,小米,MI 2A
3437705102632680210,三星,Galaxy S3
-3568334676360016285,三星,Galaxy S3
556978549708484782,小米,MI 2
5694497738268412307,小米,MI 3
6327116114284382479,华为,G520-0000
773248989809697210,vivo,X5Pro
-686020914357018824,小米,MI 2S
6936613487637228956,魅族,MX2
-3875043166283300758,三星,Galaxy Note 2
-6964140211214884922,小米,MI 2S
-30236203766311351,小米,MI 2S
4887985552773989409,vivo,Xplay
7206202610070842107,三星,Galaxy Note 2
-39620037751344714,小米,MI 2S
7223189369472462826,酷派,7270
-3998002640294516352,天语,Touch 3
2527845705328727233,OPPO,R2017
-3157952721100703520,三星,Galaxy Note 2
-6083057230710001248,中兴,795+
-4083221898711926203,酷派,大神Note
-4523542780146466405,vivo,Y3T
-5913071468598874323,三星,S7566
-2339363715932966819,小米,MI One Plus
4106908628505542038,金立,GN708W
-613324030015638453,联想,乐檬K3 Note
-2943457097948271624,三星,Galaxy Note 2
-8617503367917252519,三星,Galaxy S4
8749105586608216142,小米,MI 1S
1170363371146351661,联想,A820t
-5155397683752679020,华为,荣耀3C
3933889243973057197,小米,红米
7257880420181554729,小米,MI 2A
1234582813120123953,三星,Galaxy S2
-4733939105220796309,三星,Galaxy S4
8879737470175624918,小米,MI 2A
-8763379009069417607,海信,EG966
-1183635331565164049,三星,Galaxy S2
3379712123596745643,小米,红米
-8864430816103042731,索尼,Xperia SL
-8584581412054698289,vivo,E5
-2672769274239957431,联想,乐檬K3 Note
-8820400837007529456,酷派,大神F1
-600298111716699450,三星,Galaxy Mega 5.8
2508456043850685927,LG,G2
-5898039046526308574,小米,MI 2S
-1650578377746383131,小米,MI 2S
-5274919534161692445,vivo,X1ST
330556479751190704,vivo,X3T
2883855929707260870,华为,G610S
351751119097516850,vivo,X3T
6408930633896654430,酷派,7296
-3624244972012051380,三星,Galaxy Note
-101781457780600294,三星,Galaxy Note 3
-4383739127824514041,小米,MI 3
6759056938763239532,vivo,Y19T
3671037428868206165,OPPO,U705T
-6783326542086982248,vivo,Xplay
-5817422246078672037,小米,红米
6024087483979609345,小米,红米1S
5798338394184540229,三星,Galaxy Note 2
375031242916141301,索尼,Xperia Z
4303468262303873643,小米,MI 3
-3198511914546021507,OPPO,A11
-7195907957521509492,OPPO,Find 5
4804744196800752245,华为,荣耀畅玩4X
2527498653841788437,小米,MI 2S
7407342705734033772,小米,MI 2S
356961010933296739,酷派,5216s
7940363093768010617,华为,Ascend P6
7261007317520923482,三星,Galaxy Grand DUOS
-1025284795963440768,三星,Galaxy Note 2
6666299284550885153,华为,荣耀7
-6803990194804736810,三星,Galaxy Note 2
1393817315612691787,联想,乐檬K3 Note
2365391273254212424,小米,红米note
-8194457935539836725,三星,Galaxy Note 2
-7445915536360978858,华为,G520-5000
-4633092175790557823,华为,G6-C00
-6497166883252434409,华为,G510
4338245328280564578,三星,Galaxy S3
7102818890309647918,华为,荣耀6 Plus
7238481770938245798,华为,荣耀畅玩4X
-8003175198213999839,金立,V182
-1729267275950177135,HTC,802w
7866947605228202260,联想,S960
5838693926653216553,HTC,T528t
-5523016269228114848,vivo,X5M
9082458259120998685,三星,Galaxy Note 2
-4008854223945668262,三星,Galaxy Win
-1309021727825404503,三星,Galaxy S4
-6954227720228105166,小米,MI 2S
-2259098316749479826,三星,Galaxy Trend DUOS
3167911474903324446,小米,MI 2A
-2358816053157992370,小米,MI 2S
-3497915159928323152,小米,MI 2S
-2055599120381159331,小米,MI 2
